     Orientation no.            sigma (A)       epsilon (cm-1)
                   1                 4.10              138.139
                   2                 4.10              137.984
                   3                 4.10              137.313
                   4                 4.19              139.251
                   5                 4.10              136.289
                   6                 4.10              138.489
                   7                 4.19              138.733
                   8                 4.01              136.289
                   9                 4.19              139.730
                  10                 4.10              137.170
                  11                 4.10              137.634
                  12                 4.19              139.871
                  13                 4.01              136.025
                  14                 4.19              139.636
                  15                 4.10              138.998
                  16                 4.01              136.784
                  17                 4.19              139.780
                  18                 4.01              137.013
                  19                 4.10              139.044
                  20                 4.19              140.130
                  21                 3.92              137.853
                  22                 4.19              140.198
                  23                 4.01              138.171
                  24                 4.01              137.983
                  25                 4.19              139.781
                  26                 3.92              138.857
                  27                 4.10              139.823
                  28                 4.10              139.957
                  29                 3.83              140.041
                  30                 4.19              139.557
                  31                 3.92              138.829
                  32                 4.01              139.063
                  33                 4.19              140.483
                  34                 3.83              143.730
                  35                 4.19              140.771
                  36                 4.10              139.507
                  37                 3.92              140.797
                  38                 4.28              139.529
                  39                 3.83              143.658
                  40                 4.10              140.522
                  41                 4.19              140.897
                  42                 3.74              149.345
                  43                 4.19              139.942
                  44                 3.92              140.178
                  45                 3.92              140.667
                  46                 4.19              139.781
                  47                 3.74              152.922
                  48                 4.19              141.092
                  49                 4.10              141.079
                  50                 3.74              150.729
                  51                 4.28              139.509
                  52                 3.83              146.654
                  53                 4.01              140.864
                  54                 4.19              141.329
                  55                 3.65              162.796
                  56                 4.19              141.020
                  57                 4.01              141.136
                  58                 3.83              147.259
                  59                 4.28              139.557
                  60                 3.65              160.792
                  61                 4.10              141.933
                  62                 4.10              141.910
                  63                 3.65              166.795
                  64                 4.28              139.714
                  65                 3.83              147.235
                  66                 3.92              143.180
                  67                 4.19              140.574
                  68                 3.65              174.958
                  69                 4.19              142.019
                  70                 4.01              142.082
                  71                 3.65              162.148
                  72                 4.28              139.275
                  73                 3.65              164.818
                  74                 4.01              142.360
                  75                 4.19              142.236
                  76                 3.56              184.097
                  77                 4.19              140.566
                  78                 3.92              145.205
                  79                 3.74              151.619
                  80                 4.28              139.768
                  81                 3.56              184.626
                  82                 4.10              143.037
                  83                 4.10              142.968
                  84                 3.56              181.814
                  85                 4.28              139.390
                  86                 3.65              162.871
                  87                 3.92              144.655
                  88                 4.19              141.939
                  89                 3.56              198.528
                  90                 4.19              142.353
                  91                 3.92              144.308
                  92                 3.65              171.918
                  93                 4.28              139.229
                  94                 3.56              188.106
                  95                 4.01              143.551
                  96                 4.10              143.628
                  97                 3.56              200.646
                  98                 4.28              140.007
                  99                 3.74              157.696
                 100                 3.74              153.733
                 101                 4.19              140.400
                 102                 3.56              205.890
                 103                 4.10              143.587
                 104                 4.01              144.443
                 105                 3.56              193.461
                 106                 4.28              139.075
                 107                 3.65              186.519
                 108                 3.92              145.419
                 109                 4.19              143.251
                 110                 3.56              213.350
                 111                 4.19              142.066
                 112                 3.83              150.768
                 113                 3.65              176.660
                 114                 4.28              139.565
                 115                 3.56              207.025
                 116                 4.10              144.665
                 117                 4.10              144.765
                 118                 3.56              208.646
                 119                 4.28              139.624
                 120                 3.65              179.870
                 121                 3.83              153.154
                 122                 4.19              142.294
                 123                 3.56              219.143
                 124                 4.19              143.754
                 125                 3.92              147.104
                 126                 3.56              200.083
                 127                 4.28              139.051
                 128                 3.56              205.819
                 129                 4.01              145.863
                 130                 4.10              145.137
                 131                 3.56              218.382
                 132                 4.19              141.299
                 133                 3.65              165.837
                 134                 3.65              176.627
                 135                 4.19              140.278
                 136                 3.56              215.996
                 137                 4.10              145.906
                 138                 4.01              146.568
                 139                 3.56              210.365
                 140                 4.28              139.276
                 141                 3.56              202.846
                 142                 3.83              151.838
                 143                 4.19              144.016
                 144                 3.56              224.117
                 145                 4.19              143.839
                 146                 3.83              153.970
                 147                 3.56              203.601
                 148                 4.28              139.445
                 149                 3.65              212.244
                 150                 4.01              147.307
                 151                 4.10              146.490
                 152                 3.65              215.291
                 153                 4.19              140.354
                 154                 3.56              191.362
                 155                 3.65              172.181
                 156                 4.19              142.538
                 157                 3.65              220.203
                 158                 4.10              146.474
                 159                 3.92              149.249
                 160                 3.65              212.461
                 161                 4.28              139.207
                 162                 3.65              212.410
                 163                 3.83              150.132
                 164                 4.10              146.436
                 165                 3.65              221.543
                 166                 4.19              143.371
                 167                 3.65              172.009
                 168                 3.56              203.862
                 169                 4.19              140.390
                 170                 3.65              212.830
                 171                 4.01              148.404
                 172                 4.01              148.637
                 173                 3.65              211.081
                 174                 4.28              139.846
                 175                 3.56              212.597
                 176                 3.74              164.624
                 177                 4.19              144.584
                 178                 3.65              222.872
                 179                 4.10              146.221
                 180                 3.74              155.850
                 181                 3.65              214.958
                 182                 4.28              139.541
                 183                 3.65              210.349
                 184                 3.92              150.479
                 185                 4.01              148.253
                 186                 3.65              211.501
