     Orientation no.            sigma (A)       epsilon (cm-1)
                   1                 4.01               23.881
                   2                 3.92               24.021
                   3                 3.92               24.158
                   4                 4.01               24.050
                   5                 3.83               24.430
                   6                 3.92               23.950
                   7                 4.01               24.003
                   8                 3.83               24.899
                   9                 4.01               24.127
                  10                 3.83               24.305
                  11                 3.92               24.260
                  12                 4.01               24.159
                  13                 3.74               25.712
                  14                 4.01               24.147
                  15                 3.92               24.132
                  16                 3.74               25.378
                  17                 4.10               24.308
                  18                 3.74               25.407
                  19                 3.92               24.238
                  20                 4.01               24.238
                  21                 3.65               27.133
                  22                 4.01               24.253
                  23                 3.83               24.515
                  24                 3.83               25.175
                  25                 4.10               24.463
                  26                 3.65               27.553
                  27                 4.01               24.205
                  28                 4.01               24.175
                  29                 3.65               27.935
                  30                 4.10               24.578
                  31                 3.74               25.905
                  32                 3.83               24.694
                  33                 4.10               24.414
                  34                 3.56               30.035
                  35                 4.01               24.405
                  36                 3.92               24.452
                  37                 3.65               27.250
                  38                 4.10               24.738
                  39                 3.65               28.727
                  40                 3.92               24.403
                  41                 4.01               24.433
                  42                 3.56               31.571
                  43                 4.10               24.708
                  44                 3.74               25.694
                  45                 3.74               25.936
                  46                 4.10               24.767
                  47                 3.56               32.532
                  48                 4.01               24.484
                  49                 3.92               24.475
                  50                 3.56               30.894
                  51                 4.10               24.910
                  52                 3.65               28.817
                  53                 3.83               24.848
                  54                 4.01               24.594
                  55                 3.47               35.428
                  56                 4.10               24.704
                  57                 3.83               25.219
                  58                 3.65               28.544
                  59                 4.10               24.995
                  60                 3.47               33.618
                  61                 3.92               24.525
                  62                 4.01               24.498
                  63                 3.47               35.522
                  64                 4.10               25.031
                  65                 3.65               28.049
                  66                 3.74               26.137
                  67                 4.10               24.944
                  68                 3.47               38.233
                  69                 4.01               24.746
                  70                 3.83               24.817
                  71                 3.56               32.758
                  72                 4.10               25.145
                  73                 3.47               33.250
                  74                 3.83               24.828
                  75                 4.01               24.794
                  76                 3.47               39.731
                  77                 4.10               25.069
                  78                 3.74               26.705
                  79                 3.65               28.892
                  80                 4.10               25.201
                  81                 3.47               39.172
                  82                 4.01               24.640
                  83                 3.92               24.748
                  84                 3.47               37.939
                  85                 4.10               25.274
                  86                 3.56               31.864
                  87                 3.74               25.971
                  88                 4.10               24.999
                  89                 3.39               42.748
                  90                 4.01               24.965
                  91                 3.74               25.637
                  92                 3.47               33.529
                  93                 4.10               25.356
