     Orientation no.            sigma (A)       epsilon (cm-1)
                   1                 4.50               64.855
                   2                 4.50               68.221
                   3                 4.41               73.765
                   4                 4.59               61.344
                   5                 4.32               81.054
                   6                 4.50               65.420
                   7                 4.59               63.635
                   8                 4.32               91.141
                   9                 4.68               60.342
                  10                 4.41               78.405
                  11                 4.41               76.063
                  12                 4.68               60.263
                  13                 4.23              106.214
                  14                 4.59               61.874
                  15                 4.50               67.721
                  16                 4.23              100.825
                  17                 4.68               59.215
                  18                 4.23              101.059
                  19                 4.50               69.904
                  20                 4.68               60.974
                  21                 4.14              129.453
                  22                 4.68               59.936
                  23                 4.41               79.748
                  24                 4.23               95.389
                  25                 4.77               59.340
                  26                 4.14              134.210
                  27                 4.59               63.773
                  28                 4.59               64.444
                  29                 4.14              138.702
                  30                 4.77               59.436
                  31                 4.23              107.435
                  32                 4.32               81.628
                  33                 4.68               59.910
                  34                 4.05              166.035
                  35                 4.68               60.661
                  36                 4.41               75.247
                  37                 4.14              129.914
                  38                 4.77               59.581
                  39                 4.05              148.781
                  40                 4.50               69.026
                  41                 4.68               61.697
                  42                 4.05              181.249
                  43                 4.77               59.833
                  44                 4.23              102.624
                  45                 4.23              106.457
                  46                 4.77               59.898
                  47                 4.05              190.899
                  48                 4.59               62.244
                  49                 4.50               68.879
                  50                 4.05              174.141
                  51                 4.77               59.900
                  52                 4.05              149.763
                  53                 4.32               81.196
                  54                 4.68               60.703
                  55                 3.96              217.853
                  56                 4.77               60.264
                  57                 4.32               90.646
                  58                 4.14              145.157
                  59                 4.77               60.146
                  60                 3.96              201.829
                  61                 4.50               66.609
                  62                 4.59               64.208
                  63                 3.96              218.012
                  64                 4.77               60.349
                  65                 4.14              138.425
                  66                 4.23              107.674
                  67                 4.77               60.554
                  68                 3.96              241.122
                  69                 4.68               61.666
                  70                 4.41               77.899
                  71                 4.05              192.973
                  72                 4.77               60.442
                  73                 3.96              198.020
                  74                 4.41               77.459
                  75                 4.68               61.918
                  76                 3.96              253.384
                  77                 4.77               60.851
                  78                 4.14              118.390
                  79                 4.05              150.502
                  80                 4.77               60.840
                  81                 3.96              248.176
                  82                 4.59               64.589
                  83                 4.50               68.756
                  84                 3.96              237.496
