     Orientation no.            sigma (A)       epsilon (cm-1)
                   1                 4.01               56.942
                   2                 4.01               56.383
                   3                 4.01               55.393
                   4                 4.10               57.669
                   5                 4.01               54.184
                   6                 4.01               56.977
                   7                 4.01               57.357
                   8                 4.01               52.814
                   9                 4.10               58.048
                  10                 4.01               54.795
                  11                 4.01               55.235
                  12                 4.10               58.114
                  13                 4.01               51.016
                  14                 4.01               57.773
                  15                 4.01               56.805
                  16                 4.01               51.808
                  17                 4.10               58.322
                  18                 4.01               51.846
                  19                 4.01               56.476
                  20                 4.10               57.988
                  21                 3.92               48.612
                  22                 4.10               58.288
                  23                 4.01               54.898
                  24                 4.01               52.703
                  25                 4.10               58.327
                  26                 3.92               48.374
                  27                 4.01               57.771
                  28                 4.01               57.663
                  29                 3.92               48.037
                  30                 4.10               58.272
                  31                 3.92               51.618
                  32                 4.01               54.827
                  33                 4.10               58.355
                  34                 3.92               45.408
                  35                 4.10               58.268
                  36                 4.01               55.957
                  37                 3.92               49.481
                  38                 4.10               58.086
                  39                 3.92               47.511
                  40                 4.01               57.099
                  41                 4.01               58.257
                  42                 3.92               44.259
                  43                 4.10               58.267
                  44                 3.92               52.693
                  45                 3.92               52.313
                  46                 4.10               58.211
                  47                 3.83               43.589
                  48                 4.01               58.337
                  49                 4.01               57.297
                  50                 3.83               45.757
                  51                 4.10               57.824
                  52                 3.83               48.137
                  53                 3.92               55.410
                  54                 4.10               58.390
                  55                 3.74               41.561
                  56                 4.10               58.381
                  57                 3.92               54.441
                  58                 3.83               48.920
                  59                 4.10               57.751
                  60                 3.74               43.877
                  61                 4.01               57.900
                  62                 4.01               58.353
                  63                 3.74               42.748
                  64                 4.10               57.835
                  65                 3.83               49.934
                  66                 3.92               52.886
                  67                 4.10               58.228
                  68                 3.65               41.390
                  69                 4.01               58.576
                  70                 3.92               56.328
                  71                 3.74               46.015
                  72                 4.10               57.327
                  73                 3.74               45.789
                  74                 3.92               56.495
                  75                 4.01               58.680
                  76                 3.56               42.319
                  77                 4.10               58.137
                  78                 3.92               52.171
                  79                 3.83               49.739
                  80                 4.10               57.660
                  81                 3.56               44.076
                  82                 4.01               58.616
                  83                 4.01               57.887
                  84                 3.56               45.541
                  85                 4.10               57.267
                  86                 3.74               48.105
                  87                 3.92               54.023
                  88                 4.10               58.367
                  89                 3.47               44.694
                  90                 4.10               58.418
                  91                 3.92               54.791
                  92                 3.65               48.163
                  93                 4.10               57.044
                  94                 3.56               47.641
                  95                 3.92               57.653
                  96                 4.01               58.913
                  97                 3.47               47.532
                  98                 4.10               57.650
                  99                 3.74               50.280
                 100                 3.83               51.013
                 101                 4.10               57.842
                 102                 3.47               48.419
                 103                 4.01               59.054
                 104                 3.92               57.192
                 105                 3.47               50.413
                 106                 4.10               56.782
                 107                 3.56               50.474
                 108                 3.92               55.495
                 109                 4.01               58.889
                 110                 3.39               50.421
                 111                 4.10               58.204
                 112                 3.83               52.825
                 113                 3.65               50.434
                 114                 4.10               57.081
                 115                 3.47               52.642
                 116                 3.92               58.640
                 117                 3.92               58.699
                 118                 3.47               53.322
                 119                 4.10               57.075
                 120                 3.56               51.312
                 121                 3.83               52.554
                 122                 4.10               58.156
                 123                 3.39               53.830
                 124                 4.01               59.099
                 125                 3.83               55.577
                 126                 3.47               55.378
                 127                 4.10               56.547
                 128                 3.47               56.415
                 129                 3.92               57.096
                 130                 4.01               59.337
                 131                 3.39               55.323
                 132                 4.10               57.756
                 133                 3.65               51.704
                 134                 3.65               52.009
                 135                 4.10               57.403
                 136                 3.39               56.001
                 137                 3.92               59.235
                 138                 3.92               58.157
                 139                 3.47               58.515
                 140                 4.10               56.588
                 141                 3.47               57.906
                 142                 3.83               54.324
                 143                 4.01               58.931
                 144                 3.39               57.668
                 145                 4.01               58.735
                 146                 3.74               53.705
                 147                 3.47               58.723
                 148                 4.10               56.637
                 149                 3.47               59.714
                 150                 3.92               58.595
                 151                 3.92               59.548
                 152                 3.47               58.274
                 153                 4.10               57.202
                 154                 3.47               55.413
                 155                 3.65               52.966
                 156                 4.10               57.851
                 157                 3.47               57.911
                 158                 4.01               59.583
                 159                 3.83               56.837
                 160                 3.47               62.959
                 161                 4.10               56.334
                 162                 3.47               63.409
                 163                 3.83               56.265
                 164                 4.01               59.606
                 165                 3.47               58.580
                 166                 4.01               58.049
                 167                 3.65               53.452
                 168                 3.47               59.962
                 169                 4.10               57.011
                 170                 3.47               59.522
                 171                 3.92               59.752
                 172                 3.92               59.149
                 173                 3.47               60.780
                 174                 4.10               56.696
                 175                 3.47               63.849
                 176                 3.65               53.733
                 177                 4.01               58.851
                 178                 3.47               59.518
                 179                 4.01               59.524
                 180                 3.74               55.077
                 181                 3.47               66.550
                 182                 4.10               56.389
                 183                 3.47               63.350
                 184                 3.83               58.183
                 185                 3.92               60.253
                 186                 3.47               58.175
                 187                 4.10               57.490
                 188                 3.47               59.075
                 189                 3.47               58.990
                 190                 4.10               57.518
                 191                 3.47               57.724
                 192                 3.92               60.381
                 193                 3.83               58.192
                 194                 3.56               63.171
                 195                 4.10               56.381
                 196                 3.47               68.331
                 197                 3.74               55.356
                 198                 4.01               59.727
                 199                 3.47               59.218
                 200                 4.01               59.082
                 201                 3.65               54.673
                 202                 3.39               68.666
                 203                 4.10               56.725
                 204                 3.56               59.870
                 205                 3.83               59.779
                 206                 3.83               60.124
                 207                 3.56               58.187
                 208                 4.10               56.985
                 209                 3.39               68.526
                 210                 3.56               56.633
                 211                 4.01               58.706
                 212                 3.56               57.145
                 213                 3.92               60.402
                 214                 3.74               56.532
                 215                 3.56               66.960
                 216                 4.10               56.340
                 217                 3.56               65.641
                 218                 3.74               57.361
                 219                 3.92               60.785
                 220                 3.56               56.410
                 221                 4.01               58.399
